"name","mmsi","length","width","draught","shiptype","imo","direction","starttime"
"2IXV8","235113664",85.0,12.0,4.099999904632568,"Other",9411824,"Hamburg","2017-03-23T00:01:27.0"
"3EFL","353594000",229.0,32.0,9.600000381469727,"GeneralCargo",9728186,"Nordsee","2017-03-22T22:04:02.0"
"3EFL","353594000",229.0,32.0,13.100000381469727,"GeneralCargo",9728186,"Hamburg","2017-03-17T00:02:34.0"
"3EKJ3","372736000",337.0,46.0,12.699999809265137,"GeneralCargo",9336048,"Nordsee","2017-03-23T22:06:50.0"
"3ENM","352477000",200.0,32.0,11.199999809265137,"GeneralCargo",9696797,"Nordsee","2017-03-21T00:09:18.0"
"3ENM","352477000",200.0,32.0,12.100000381469727,"GeneralCargo",9696797,"Nordsee","2017-03-21T01:09:18.0"
"3EXC5","355036000",290.0,46.0,10.699999809265137,"GeneralCargo",9532082,"Nordsee","2017-03-18T22:24:39.0"
"3EYE","374815000",364.0,51.0,12.899999618530273,"GeneralCargo",9741384,"Nordsee","2017-03-19T05:47:00.0"
"3FGU4","354974000",229.0,32.0,7.5,"GeneralCargo",9544102,"Nordsee","2017-03-23T01:45:22.0"
"3FGU4","354974000",229.0,32.0,14.399999618530273,"GeneralCargo",9544102,"Hamburg","2017-03-20T00:00:37.0"
"3FRZ3","355443000",316.0,46.0,10.600000381469727,"GeneralCargo",9495038,"Nordsee","2017-03-20T18:58:09.0"
"3FTA7","372092000",138.0,21.0,6.5,"GeneralCargo",8708830,"Hamburg","2017-03-21T00:16:47.0"
"3FTA7","372092000",138.0,21.0,6.599999904632568,"GeneralCargo",8708830,"Nordsee","2017-03-22T16:36:00.0"
"3FXI","370993000",363.0,46.0,13.199999809265137,"GeneralCargo",9401116,"Nordsee","2017-03-20T18:34:16.0"
"3FXI","370993000",363.0,46.0,13.800000190734863,"GeneralCargo",9401116,"Hamburg","2017-03-18T00:08:42.0"
"5BDY4","212436000",117.0,18.0,6.400000095367432,"Tanker",9256420,"Hamburg","2017-03-22T01:23:59.0"
"5BEE3","209204000",140.0,22.0,7.0,"GeneralCargo",9371426,"Hamburg","2017-03-18T00:05:39.0"
"5BEE3","209204000",140.0,22.0,7.099999904632568,"GeneralCargo",9371426,"Hamburg","2017-03-18T12:31:07.0"
"5BLD4","212185000",195.0,32.0,10.300000190734863,"GeneralCargo",9697014,"Nordsee","2017-03-17T13:54:19.0"
"5BNG2","212357000",184.0,25.0,8.100000381469727,"GeneralCargo",9322011,"Hamburg","2017-03-20T00:03:11.0"
"5BSB4","212748000",170.0,27.0,9.199999809265137,"GeneralCargo",9313199,"Hamburg","2017-03-20T17:55:10.0"
"5BSB4","212748000",170.0,27.0,9.399999618530273,"GeneralCargo",9313199,"Hamburg","2017-03-20T01:57:34.0"
"5BUK3","210521000",138.0,22.0,6.0,"GeneralCargo",9360996,"Hamburg","2017-03-21T00:10:09.0"
"5BWF2","212048000",99.0,16.0,5.5,"Tanker",9503902,"Hamburg","2017-03-21T00:23:53.0"
